name,line
Loid, Reinforcements! There's no end to them.
Franky, I got 'em all in! Get in!
Franky, Whoo!
Franky, Let's see... Which one's going to accidentally go missing?
Loid, I'm helping myself to this one.
Franky," Hey, that's a diamond! No fair taking the expensive-looking one!"
Loid, I'll use it as part of this whole charade.
Franky, Shut up! Give that back!
Yor, I see.
Yor, So this is what it means to have your heart toyed with.
Yor," I must keep my work relationships favorable for my brother's sake, too."
Yor, Which means that I must attend this party.
Camilla," You're late, Yor!"
Yor, I do apologize. Here's a gift.
Camilla, Oh? I thought you were coming with your boyfriend.
Yor," Unfortunately, he had something suddenly come up."
Camilla," Oh, what a shame. I was so eager to meet him!"
Camilla, What a lame excuse.
Millie, How pathetic.
Sharon, I knew she was lying about having a guy.
Millie, Should we report the liar?
Camilla, We should!
Camilla, I'm positive she's a spy who's been sent in to lower our country's birth rate.
Sharon, Seriously? That's so petty.
Sharon, She's just unpopular with the guys.
Sharon, Just leave her be.
Camilla," You're meaner than both of us, Sharon."
Dominic, It's too bad your boyfriend couldn't make it. I was excited to meet him.
Millie, You're so hilarious.
Yor, D-Dominic...
Dominic, Yuri's always so worried about you.
Yor," Um, could you possibly..."
Yor, just tell my brother than I came to the party with a kind gentleman?
Camilla," Yeah, not happening."
Camilla," Just how desperate are you to impress people, Yor?"
Camilla, It just makes you look even more pathetic.
Dominic," Jeez, knock it off, Camilla!"
Camilla, Stop talking to my man.
Camilla, I'll be sure to let your brother know that you came alone.
Yor, What could she possibly gain by doing that?
Yor, This is honestly becoming tiresome.
Yor," If all of the adults here just happened to perish,"
Yor, my brother would never find out...
Dominic, I'm so sorry. Have fun!
Dominic," Come on, Camilla. Help me bake this gratin."
Female Guest A, And then that guy...
Girl, Mommy!
Sharon, My oldest here will be taking an entrance exam soon.
Sharon, At the prestigious Eden College.
Female Guest B," Wow, that's wonderful!"
Male Guest A, He'll be a shoe-in with the elite.
Yor," That must be what ""normal"" looks like."
Yor, I'm sure that's how my brother wanted me to end up.
Camilla, Seriously? She's still here.
Millie, She's tougher than she looks.
Sharon, I'm honestly surprised she had the nerve to show up alone.
Yor, I see... I'm too out of my league here.
Yor, I do beg your pardon.
Yor, I will have to take my leav—
Loid, I'm terribly sorry for arriving late.
Loid," I'm Yor's husband, Loid Forger."
Yor, Um...
Yor," I just needed a boyfriend, not a husband."
Loid, sh*t!
Loid, I mixed up my mission with hers.
Dominic," Um... Mr. Forger, was it? You're bleeding."
Loid," Oh, pardon me."
Loid, One of my patients had a violent episode.
Loid, It happens all the time to a psychiatrist.
Loid," Have you been enjoying yourself, Yor?"
Camilla," You're joking, right?"
Camilla," You're married, Yor?"
Camilla, Why didn't you tell us?
Yor," Um, I..."
Loid," It's embarrassing to say so, but this is my second marriage and I already have a child,"
Loid, so it may have been hard to bring up.
Camilla, Don't give me that sh*t!
Loid, It's my fault.
Camilla, There's absolutely no way Yor has a husband who's that handsome and hot!
Camilla, I'll embarrass her in front of everyone!
Camilla," Yor, I just got this piping hot gratin right out of the oven!"
Camilla," Oops, I seemed to have tripped!"
Loid," I admire your dedication to not wasting food,"
Loid," but it's a bit improper to use your feet, Yor."
Yor," Oh, I'm so sorry."
Dominic, That got you?
Loid, This is quite delicious.
Yor, Indeed.
Camilla," Did you know, Mr. Ranger..."
Loid, It's Forger.
Camilla, ...that she was apparently doing some questionable work before working at city hall?
Camilla, What did you do again?
Dominic," Come on, stop it!"
Camilla," Men would call you to their hotel rooms so you could give them ""massages""?"
Camilla," Oh, you little whore."
Yor, That was...
Yor," ""Massages"" were a cover for occupational murders."
Yor," Um, please don't get the wrong idea, Loid. I—"
Loid, How wonderful.
Yor, Huh?
Loid, Yor lost her parents at a very young age.
Loid," She did all she could to care for her younger brother,"
Loid, even if it meant sacrificing herself.
Loid, Be it for someone else
Loid," or for a specific reason,having to endure a merciless job"
Loid, requires an incredible amount of dedication.
Loid, And that's something to be very proud of.
Loid," Let's go home, Yor."
Yor," Er, yes... Thank you for the lovely party, everyone."
Loid, I-I'm so sorry I said I was your husband.
Yor," Oh, it's all right."
Loid, I'm not sure what to tell your brother if he hears of this.
Yor," Um, Loid... I have a suggestion."
Loid, What...
Loid, Remnants of the smuggling ring?
Loid," Hang on, Yor!"
Yor, Huh?
Loid, How did they know where I was?
Loid, Did they... leave a tracking device in the art pieces?
Loid," You've definitely let your guard down, Twilight."
Yor, Who are those people?
Loid," Um, uh..."
Loid, I-It appears some of my patients still haven't recovered
Loid, from their psychotic episodes.
Yor, Being a doctor must be very taxing.
Loid, She actually believed it!
Loid, In the meantime...
Loid, We're making a break for it.
Remnant A, They've abandoned the van.
Remnant B, They're probably hiding nearby. Split up and find them.
Loid," Yor, this way. Hurry!"
Yor, Um... Are you sure it's all right for you to hit your patients like that?
Loid," Um, well..."
Loid, The concussive recovery method is the latest in modern medical practices.
Yor, I see.
Loid, I can't tell if she's actually bright or dumb.
Loid," Look out, Yor!"
Loid, Another one! I can't dodge it!
Yor," Oh, no!"
Yor, I'm so sorry an amateur like me helped with the recovery!
Yor, I happen to be an expert in self-defense.
Yor, My brother was kind enough to teach me...
Loid," Thank you, Yor."
Loid, That was quite impressive. Did you see how far he went?
Yor, I'm sorry. I guess I did send him flying.
Remnant G, There he is!
Loid, This way!
Remnant G, Do whatever you need to do! Make sure they're dead!
Yor," Um, Loid... This may not be the best moment to ask,"
Yor, but why don't we get married?
Loid, I'm sorry?!
Yor," Er, well, it would extend our agreement..."
Yor," I mean... Apparently, I'm considered suspicious just for being single,"
Yor, so it'd be nice camouflage...
Yor," For me to continue my job as an assassin, too."
Yor," Um, basically,"
Yor," if it's all right with you, maybe we could just stay together,"
Yor, and not just for the interview...
Yor, For both our sakes.
Yor, He's probably the only person who could accept me for who I am right now.
Loid, Then let's stop by city hall on our way back to fill out the paperwork.
Yor, Huh? Right now?!
Loid, They do say no time like the present.
Loid," Oh, that's right."
Loid, Where did I drop it?
Remnant B, You bastard!
Remnant B, We have 'em cornered!
Remnant A, Fill 'em full of lead!
Loid, Yor...
Loid," Even in sickness,"
Loid, or in sadness...
Loid," No matter what hardships await us,"
Loid, let us be there for one another.
Yor, All right.
Loid, Until my mission...
Yor, Until my k*lling...
Loid and Yor, ...do us part.
Narrator, Everyone has a side they don't show anyone else.
Narrator," To their friends, their significant others, or even their families."
Narrator," They hide what they're truly feeling through fake smiles or bravado,"
Narrator, and keep their true identities secret.
Narrator, That is how the world keeps up the appearance of its temporary peace.
Narrator, In an era in which the nations of the world were waging a fierce w*r
Narrator," of information just out of sight,"
Narrator, two countries were at odds with each other.
Narrator," Ostania, in the east, was secretly plotting to start a w*r."
Narrator," Westalis, in the west, wanted to put a stop to those plans."
Narrator," In order to keep an eye on the actions of a leading figure in Ostania's government,"
Narrator, Westalis set Operation Strix in motion.
Narrator," The one tasked with this operation is the skilled agent, Twilight."
Narrator, The mission given to the master of disguise with a hundred faces was...
Narrator, to start a family.
Loid, Is this everything you own?
Yor, Yes.
Loid, It's not very much.
Yor," Um, Loid... about the sleeping arrangements..."
Loid," We'll be sleeping in separate rooms, of course."
Loid, We'll share one for appearances anytime we have guests over.
Yor, R-Right.
Anya, Welcome to Anya's house!
Yor," Thank you for the lovely welcome, Miss Anya."
Narrator, This house is home to a rather unusual family.
Narrator," The father, Loid Forger, is a psychiatrist."
Narrator, His true identity: a spy.
Narrator, Code name: Twilight.
Narrator," The mother, Yor Forger, is a civil servant who works at city hall."
Narrator, Her true identity: an assassin.
Narrator, Code name: Thorn Princess.
Narrator," The daughter, Anya Forger."
Narrator, Her true identity: a telepath.
Anya, I'm so happy to have a mama now!
Yor, Mama...
Anya, I'm gonna help.
Loid," Oh, right. By the way..."
Loid, I had a friend of mine who's a judge make it so we got married a year ago.
Loid," By that, I mean he forged the certificate."
Loid, We can figure out why we lived separately and what to tell your brother later.
Yor, All right.
Loid, It would make the school suspicious if we got married just before the interview.
Yor," I got permission from the Shopkeeper, so I feel much better."
Anya, So exciting...
Narrator," Father, mother, daughter..."
Narrator," These three created this pretend family to further their own ends,"
Narrator, and are living under the same roof as they hide their true identities from each other.
Anya, I'm going to show Mama around!
Loid," Once we get settled in, we'll practice the interview."
Anya, This is the kitchen!
Anya, Papa is good at cooking!
Yor," Oh, I see."
Anya, This is the toilet. And that's the bathtub!
Yor, Everything's so clean.
Anya, I can wash my face all by myself!
Yor," You're such a big girl, Miss Anya."
Anya, This is Anya's room!
Anya, Welcome!
Yor, Thank you for inviting me in.
Yor," My, what an adorable room."
Anya, I'll introduce you to Mr. Chimera.
Anya, I am Chimera. It is a pweasure to meet your acquiantenance.
Yor," It's very nice to meet you, Mr. Chimera."
Yor, I am Miss Anya's mama.
Anya, This is Papa's room!
Yor, So this is Loid's room...
Anya," This is your room, Mama."
Anya," Come in, Mama."
Yor," Why, thank you."
Yor, So this is my...
Yor, What a lovely room.
Loid, I'm glad you like it.
Loid, This should be everything.
Loid, Is the furniture arranged to your liking? I also cleaned a bit.
Yor," Yes, everything is wonderful."
Anya," I helped clean, too!"
Yor, Really? Thank you so much.
Anya, Am I a good girl?
Loid, All you did was tip over a bucket of water.
Anya, Shock!
Yor, This is such a lovely room. I don't know what to do with myself.
Loid, What do you mean?
Loid, Please make yourself at home.
Loid," Actually, this is your home now, so make yourself comfortable."
Yor, Thank you.
Loid, I'll come get your boxes once they're empty.
Yor," Loid, I've got everything put away."
Loid, You're quite efficient.
Loid," Ah, this must be your younger brother."
Yor," Oh, yes."
Loid, You said he's also a civil servant?
Yor," Yes. He seems quite busy lately, so I've only spoken to him on the phone."
Loid, It seems you two are quite similar.
Loid, I should properly introduce myself once Anya's entrance exam is over.
Yor," Um, Loid. About that..."
Yor, I don't have anything suitable to wear to this interview...
Loid, Then let's go to the tailor today.
Yor, Thank you very much.
Anya," Helping, helping..."
Yor," M-Miss Anya, I'll take care of that!"
Yor, I have my work weapons and poison powerful enough to k*ll an elephant in there.
Yor," Can I get you something, Loid?"
Loid," Some coffee, please. Black."
Anya, I want hot cocoa!
Loid, With sugar and milk.
Anya, That's the stuff!
Yor, They look amazing. Are those cookies homemade?
Loid, It's actually my first time making cookies.
Loid," I just followed a recipe from a cookbook, so they should be decent."
Loid, I hope you like them.
Yor, Thank you.
Yor, They're wonderful! You really are an amazing cook!
Loid," It's not that impressive, really."
Anya," I helped with the cookies, too!"
Yor," Oh, I see."
Loid," After you got covered in flour and got in my way,"
Loid, you just snacked on some peanuts.
Loid," Once we're settled in, let's begin."
Loid, Eden College is one of the most prestigious schools in the country.
Loid," During the interview, not only will the child be evaluated,"
Loid, but so will the parents.
Loid, They will be evaluated on their social standing as well as how cultured they are.
Loid, Understood?
Loid," Now, let's start the questions."
Loid," First, please state your name and address."
Anya, Anya Fo...Fo...Horger. Address?
Loid, The place we're at right now.
Anya, This is Anya's house!
Loid, That's not what I meant.
Loid," Er, so, Miss Anya... How do you spend your days off?"
Anya," Papa orders me to stay home,"
Anya, so I have to watch TV all alone.
Loid," Now, wait a second."
Loid, That makes a terrible impression. Madam?
Yor, Yes?
Loid," Why did you choose Eden College, and how do you plan to pass this exam?"
Yor, How do people usually pass?
Yor," Um, pass, passing..."
Yor," Perhaps because of cardiac arrest, or excessive bleeding?"
Yor, Or compound fractures throughout the body?
Yor, Oh! Maybe their skull was caved in.
Loid, k*ll me now. Next question.
Loid, Could you describe your parenting methods?
Yor, Huh? U-Um... Strike first to be victorious?
Loid, I'm amazed her brother turned out to be a decent human being.
Loid, I've been a spy for over a decade.
Loid," I've completed countless missions,yet only now do I find myself losing heart."
Loid, This is pointless. There's no way we'll survive the interview at this rate.
Loid, Let's give up on getting her into that school.
Yor, Loid! Please remember your late wife's wishes!
Loid," Clearly, we weren't ready for this mock interview yet."
Loid," All right, let's go out for a bit."
Loid," Let's broaden our horizons, become versed in what is normal for an upper-class family,"
Loid, and make sure that we're all on the same page.
Anya," We're on an ooting, an ooting, la, la, la, lah!"
Loid," You mean ""outing."""
Anya," Wanna hold hands, Mama?"
Yor, I-If you don't mind.
Loid, Thank goodness Anya's taken a liking to her.
Loid, The plan is set.
Loid," After today, we'll seem like a normal... no."
Loid, We'll be seen as an upper-crust family.
Yor, Oh... This reminds me of when my little brother was still small and adorable.
Yor, And that one time I hugged him too hard and ended up breaking two of his ribs.
Yor, I must be careful.
Loid, Wait... what? Maybe not...
Yor," B-By the way, where are we headed?"
Loid, I've acquired a variety of tickets through my connections at work.
Loid, Tradition and status are everything at Eden College.
Loid," We'll have to experience and get accustomed to the best that life has to offer,"
Loid, and make sure we don't slip up if we let our guard down.
Loid," All right, next."
Loid," Anya, no yelling while we're here."
Anya, 'Kay.
Loid," We've experienced first-class music,"
Loid, so now for some first-class art... And you know the rest.
Anya, Papa! I can see her boobies!
Anya, Head's been choppy-chopped! Body's been choppy-chopped!
Loid, What did I just say about yelling?
Loid, Yor?
Loid, Y-Yor...?
Anya, I wanna do that!
Loid, Drawing? Sure.
Loid," Yor, why don't we sit down for a bit?"
Yor, All right.
Anya, Anya's house is a big castle.
Anya, The boss of the secret organization is Director Chimera.
Anya," Papa is a spy! Pew, pew!"
Anya," Mama is an assassin! Stabby, stabby, sploosh!"
Loid, We should probably get going.
Yor, Yes.
Anya, All done!
Loid," Anya, we're going to our next stop."
Anya," If Papa and Mama see this,they'll find out about my powers!"
Loid," Wow, that's quite a masterpiece."
Loid, There seems to be a pig in a forest.
Anya," That's Mr. Chimera, and he lives in a castle!"
Loid," I see. I definitely see Bondman there, though."
Loid," I'm right, aren't I?"
Anya, Yep...
Loid, It's that spy cartoon you were watching last week.
Loid, So this witch-looking one must be the princess.
Loid, That part seems rather graphic.
Loid," Oh, but that cat is cute."
Anya, That's a doggy!
Loid, I see. Then I apologize.
Loid, We're going to the tailor next.
Yor, Sorry to have you do this on your day off.
Loid, It's quite all right. This is something we need to do.
Anya, My going-out clothes are so cute!
Anya, They fit perfectly!
Anya, This shop is great! I love it!
Proprietress," Why, thank you."
Anya, This is my first ooting in my going-out clothes.
Proprietress, Then it must be a day of celebration.
Anya, A day to celebrate this ooting!
Loid," In that case, we can stop by a photography studio next."
Female Employee," Yor, dear. Right this way."
Yor, Coming.
Proprietress," If you're looking for a semi-formal dress, I think this color would do nicely."
Proprietress, What do you think?
Yor, I'd honestly prefer a black or red dress.
Proprietress," Really? I think this would look nice on you, Yor."
Proprietress, Then how about this?
Loid," Judging from her lack of luggage, I thought she had no interest in clothes."
Loid, I see you're particular about matching colors.
Yor, No... I wouldn't say that.
Yor," This color's lovely, but I'm worried that blood splatters would be too noticeable."
Female employee, Looks like Yor finally found someone nice.
Proprietress," Hopefully they last. Having a child already is an instant no for me, though."
Loid," Looks like the extra outfits will be ready by the interview, too."
Yor, I'm so sorry to have you get so many.
Loid," Well, you look nice in colors besides red and black."
Loid," We'll be going out more often, too."
Anya, Ootings! Ootings!
Loid," You're a regular at that shop, aren't you?"
Loid," I'm sure we'll continue to shop there, so next time, we should tell them we're married."
Yor," Oh, right."
Politician," We, the Nationalist Party, believe that there is a road to peace with the West."
Loid, Patriotism is also important within Eden.
Audience A, You moron!
Audience B, k*ll all the bastards in the West!
Politician, Continuing to treat Westalis as the enemy will do us no good.
Loid," I'll need to make sure she's knowledgeable of politics and history, as well."
Audience C," Piss off, traitor!"
Audience F," Gimme money, gimme money, gimme money..."
Audience D, Those bastards k*lled my family!
Audience E, Get lost with the pleasantries!
Audience G," First I lost my job, then my home!"
Loid, What's the matter?
Anya, I don't like places like this...
Audience H, k*ll all the shitheads in the West!
Loid, Sorry. Maybe this was a little scary for you.
Yor, Let's go rest somewhere.
Audience I, The East did nothing wrong!
Audience mob, Go back to your Western masters!
Audience mob, Damn it!
Audience mob, You pig!
Audience mob, You stupid baldy!
Audience mob," Your feet smell, too!"
Anya," Papa, I'm hungry."
Loid, Huh?
Loid, Are you all right or not?
Loid," No, Anya. Don't just pick the nuts off the and no eating with your hands."
Loid," And Yor, uh... Hmm..."
Loid, I've been a spy for over a decade.
Loid," I've completed countless missions,yet once again I find myself losing heart."
Anya," S'all good, Papa."
Loid, What is?
Loid," Yeah, I definitely picked the wrong child."
Loid," No, this is all because I was expected to rely on others."
Loid," I shouldn't have put the key to success in the hands of others, let alone civilians."
Loid," Predicting every possible situation, preparing for it,"
Loid, and acting from a carefully laid-out plan.
Loid, Those are the ironclad rules of being a spy.
Loid," Which means that I need to list every possible question the interviewer can ask,"
Loid, then have these two memorize the perfect answers to go with them.
Loid," If all else fails, make sure I can back them up—"
Yor, Um...
Yor, Why don't we go get some fresh air?
Anya, The people look like bits of trash from up here.
Loid, Where did you get that from?
Anya, My cartoons.
Loid, Ah...
Loid, I had no idea there was a park like this on the outskirts of town.
Yor," I don't come here that often either,"
Yor, but I wander over here when I'm exhausted from work.
Yor, Thinking about how the work I do helps everyone in this city out
Yor, encourages me to work harder.
Yor," Oh, this place must be awfully boring! I'm terribly sorry!"
Anya, I like this place better than crowded places!
Yor," Oh, that's wonderful!"
Old woman, Thief! Someone help!
Loid, That old lady should've been more careful.
Yor, You won't get away with this!
Yor, Hold it right there!
Loid," Oh, damn it."
Yor, I lost track of him.
Yor," Are you all right, ma'am? Are you hurt?"
Old woman, I'm fine. Just a few scratches.
Yor, I promise I'll catch him for you! And I'll take you to the hospital later!
Old woman," Why, thank you."
Yor, I left Loid and Anya behind.
Loid, He blended in with the crowd.
Loid," I'm very sorry, Yor, but you probably won't be able to find him now."
Mob A," Man, I'm starving."
Mob B, So expensive...
Mob C," Aw, this is so cute."
